author_id,am,ar,ca,cs,cy,da,de,el,en,es,et,eu,fa,fi,fr,hi,ht,hu,in,is,it,iw,ja,lt,lv,ml,nl,no,pl,ps,pt,ro,ru,sl,sv,tl,tr,uk,und,ur,vi,zh
1294741.0,0,0,1,1,3,0,2,0,3193,4,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,29,0,0,0
5715682.0,0,0,0,0,0,1,1,0,3190,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0
6612402.0,0,0,2,1,4,1,5,0,3012,9,3,1,0,0,12,0,3,2,9,0,5,0,0,0,2,0,4,4,0,0,2,3,0,0,2,26,0,0,118,0,0,0
6705042.0,0,0,0,0,0,0,3,0,3154,8,0,0,0,0,7,1,1,0,2,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,61,0,0,0
8161232.0,0,0,0,0,0,0,0,0,3223,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,16,0,0,0
9950972.0,0,0,0,2,1,0,0,0,764,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,30,0,0,0
12354832.0,0,0,4,0,1,0,9,0,2958,3,3,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,260,0,0,0
12455302.0,0,0,5,0,2,2,28,0,2856,16,7,1,0,0,53,0,2,1,4,0,3,0,0,1,1,0,3,1,2,0,2,3,0,1,0,5,2,0,224,0,0,0
14157134.0,0,0,0,0,0,0,0,0,3230,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
14680596.0,0,0,0,0,0,1,1,0,1253,15,4,0,0,8,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0
15143478.0,0,2,1,0,0,0,3,0,2163,1,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
15439395.0,0,0,0,0,0,0,3,0,2131,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,4,0,0,33,0,0,0
16399949.0,0,0,1,1,1,2,7,0,3071,4,0,1,0,0,4,0,3,1,3,0,2,0,1,1,0,0,2,0,0,0,2,2,0,0,1,4,0,0,132,0,0,0
16681111.0,0,0,2,0,0,2,3,0,3173,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,12,0,0,34,0,0,0
16935734.0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17020962.0,0,1,0,0,0,0,0,0,894,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
17062358.0,0,0,1,0,1,1,0,0,3157,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,76,0,0,0
17753033.0,0,0,0,0,0,0,1,0,1238,7,1,1,0,0,7,0,1,0,4,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,59,0,0,0
18730967.0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
18764841.0,0,0,6,0,1,0,2,0,2975,1,0,1,0,0,12,0,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,214,0,0,0
18887526.0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
