,Unique_ID,Unnamed: 0,referenced_tweets,text,author_id,created_at,id,conversation_id,source,reply_settings,lang,public_metrics,in_reply_to_user_id,geo,withheld,Hashtags,covid_hashtags,brexit_hashtags,esg_hashtags;;;;;
"16,15,16,,Hey @BlakeLively -- This is your sign to go on a holiday with @VirginVoyages and leave this kid at home. cc: @VancityReynolds https://t.co/IUk2wtxETc,8161232.0,2021-12-16T14:00:03.000Z,1471480242464333824,1471480242464333824,Twitter Media Studio,everyone,en,""{'retweet_count': 104, 'reply_count': 60, 'like_count': 1762, 'quote_count': 12}"",,,,[],0,0,0";;;;;
"17,16,17,,.@VirginStartUp has supported some amazing small businesses – and they have all got some brilliant gifts on offer this Christmas https://t.co/3DnWN5Ce6w #DeckTheSmalls,8161232.0,2021-12-16T11:30:02.000Z,1471442490398068737,1471442490398068737,Hootsuite Inc.,everyone,en,""{'retweet_count': 14, 'reply_count': 26, 'like_count': 108, 'quote_count': 3}"",,,,['DeckTheSmalls'],0,0,0";;;;;
"18,17,18,""[{'type': 'retweeted', 'id': '1471133077359452169'}]"",""RT @VirginStartUp: Are Brits going big on small this Christmas? 🤔 🇬🇧 We’re shining a light on founders this year, and celebrating those w…"",8161232.0,2021-12-16T11:04:06.000Z,1471435965134684160,1471435965134684160,Twitter Web App,everyone,en,""{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,[],0,0,0";;;;;
"19,18,19,""[{'type': 'retweeted', 'id': '1471162947762282497'}]"",""RT @HollyBranson: Shining a light on some of my favourite, purpose-driven start-ups and small businesses – just in time for the festive sea…"",8161232.0,2021-12-16T11:03:51.000Z,1471435899338637312,1471435899338637312,Twitter Web App,everyone,en,""{'retweet_count': 17, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,[],0,0,0";;;;;
"20,19,20,,What a festive delight – this must be the best dressed house I’ve seen this Christmas https://t.co/cEvK9umgbM @VirginStartUp #DecktheSmalls @sipfuldrinks https://t.co/4zFfopPb79,8161232.0,2021-12-14T11:17:21.000Z,1470714521740365825,1470714521740365825,Twitter Media Studio,everyone,en,""{'retweet_count': 26, 'reply_count': 34, 'like_count': 197, 'quote_count': 4}"",,,,['DecktheSmalls'],0,0,0";;;;;
"21,20,21,,“You should dare to dream a dream for others” – beautiful words from @enyamayaro’s grandmother and a powerful reminder. Here’s more from my @Literati interview with Elizabeth: https://t.co/ps5QYr4R4R https://t.co/pKD1mtVESP,8161232.0,2021-12-10T22:06:28.000Z,1469428327924514816,1469428327924514816,Twitter Media Studio,everyone,en,""{'retweet_count': 47, 'reply_count': 72, 'like_count': 223, 'quote_count': 5}"",,,,[],0,0,0";;;;;
"22,21,22,""[{'type': 'quoted', 'id': '1469391444733530116'}]"",Excited to join @enyamayaro for a special #AskTheAuthor interview as part of my @literati book club. Tune in at 5pm EST tonight (December 10) right here: https://t.co/WXei83PwaE https://t.co/big2cli5Dk,8161232.0,2021-12-10T20:21:25.000Z,1469401890559610880,1469401890559610880,Twitter Web App,everyone,en,""{'retweet_count': 16, 'reply_count': 17, 'like_count': 99, 'quote_count': 4}"",,,,['AskTheAuthor'],0,0,0";;;;;
"23,22,23,,""On #HumanRightsDay , remember the devastating impacts of the failed war on drugs. One in five prisoners worldwide is incarcerated for drug-related offences. Time to #standup4humanrights, end criminalisation and focus on people’s health. @cnd_tweets https://t.co/2y35YX21bM"",8161232.0,2021-12-10T16:26:38.000Z,1469342806007517185,1469342806007517185,Twitter for iPhone,everyone,en,""{'retweet_count': 51, 'reply_count': 44, 'like_count': 235, 'quote_count': 15}"",,,,""['standup4humanrights,', 'HumanRightsDay']"",0,0,1";;;;;
"24,23,24,,""On #HumanRightsDay, the UN Commission on Narcotic Drugs silences a UN human rights expert's presentation of a study on the impacts of punitive drug policies. That’s a worrying message from the CND. #StandUp4HumanRights!  https://t.co/SAeTVkIlG5"",8161232.0,2021-12-10T16:18:30.000Z,1469340758163472387,1469340758163472387,Twitter for iPhone,everyone,en,""{'retweet_count': 34, 'reply_count': 18, 'like_count': 143, 'quote_count': 6}"",,,,""['StandUp4HumanRights!', 'HumanRightsDay,']"",0,0,1";;;;;
"25,24,25,,""We’re delighted to share that @grovecollab, a leading sustainable consumer products company, is to merge with @Virgin Group Acquisition Corp. II: https://t.co/RoS4A89TSR https://t.co/Wwm5eX5CKh"",8161232.0,2021-12-08T13:09:58.000Z,1468568536234676231,1468568536234676231,Twitter Media Studio,everyone,en,""{'retweet_count': 18, 'reply_count': 39, 'like_count': 164, 'quote_count': 6}"",,,,[],0,0,0";;;;;
"26,25,26,,""New @globalcdp report spells it out: 60 years of drug prohibition have cost countless lives and wasted billions. We must decriminalise all drug use, regulate drugs and invest in harm reduction. It’s the only way to save lives. #timetoendprohibition https://t.co/BHiU19yMoE"",8161232.0,2021-12-07T19:58:12.000Z,1468308883454242820,1468308883454242820,Twitter Web App,everyone,en,""{'retweet_count': 44, 'reply_count': 36, 'like_count': 231, 'quote_count': 13}"",,,,['timetoendprohibition'],0,0,0";;;;;
27,26,27,,These @made51_unhcr decorations are handmade by refugee artisans. They are a beautiful way to celebrate hope &amp;" a great gift if you’re looking for something meaningful this year: https://t.co/mKsaKeJSMz #MADE51gifted https://t.co/fbG7MffTas,8161232.0,2021-11-30T21:13:24.000Z,1465791091907698697,1465791091907698697,Twitter for iPhone,everyone,en,""{'retweet_count': 71, 'reply_count': 58, 'like_count': 238, 'quote_count': 8}"",,,,['MADE51gifted'],0,0,0";;;;
"28,27,28,""[{'type': 'quoted', 'id': '1465321446201253888'}]"",Thank you for the wonderful tribute @VirginAtlantic https://t.co/DwLgZyGJ1X,8161232.0,2021-11-29T15:14:13.000Z,1465338314580443148,1465338314580443148,Twitter Web App,everyone,en,""{'retweet_count': 39, 'reply_count': 47, 'like_count': 432, 'quote_count': 6}"",,,,[],0,0,0";;;;;
"29,28,29,,It’s that time of year again – feels like it has crept up on us so quickly! Always wonderful to see the @adventofchange charity advent calendars come out each year - it includes two charities very close to my heart - @bigchange_ and @madebydyslexia: https://t.co/DiHWnGvxbU https://t.co/dDkRQdNVJv,8161232.0,2021-11-28T11:41:08.000Z,1464922302542487554,1464922302542487554,Twitter Media Studio,everyone,en,""{'retweet_count': 44, 'reply_count': 83, 'like_count': 359, 'quote_count': 9}"",,,,[],0,0,0";;;;;
"30,29,30,""[{'type': 'replied_to', 'id': '1463479261965209606'}]"",@HollyBranson I wouldn’t want to be anywhere else!,8161232.0,2021-11-25T16:56:20.000Z,1463914460297445387,1463479261965209606,Twitter Web App,everyone,en,""{'retweet_count': 2, 'reply_count': 5, 'like_count': 40, 'quote_count': 1}"",217029628.0,,,[],0,0,0";;;;;
"31,30,31,,This is the moment we told Keisha Schahaff she’s won @virgingalactic’s @omaze competition and she’s going to space… Her reaction brought tears to my eyes! https://t.co/F6iBgXC5P0 @spacehumanity https://t.co/G9VXuMAhTi,8161232.0,2021-11-24T15:08:24.000Z,1463524912459657219,1463524912459657219,Twitter Media Studio,everyone,en,""{'retweet_count': 109, 'reply_count': 90, 'like_count': 828, 'quote_count': 31}"",,,,[],0,0,0";;;;;
"32,31,32,,Here’s what happened when I tried @upsidefoods incredible chicken in The Test Kitchen on board @VirginVoyages: https://t.co/xX52Q0aTMn https://t.co/SA4LlExrOF,8161232.0,2021-11-23T21:00:21.000Z,1463251096583880707,1463251096583880707,Hootsuite Inc.,everyone,en,""{'retweet_count': 30, 'reply_count': 31, 'like_count': 199, 'quote_count': 3}"",,,,[],0,0,0";;;;;
"33,32,33,,One lucky winner is going to space! Ready for the big reveal? Check back tomorrow to find out who won... @omaze @SpaceHumanity https://t.co/2jFCGPo4zC,8161232.0,2021-11-23T19:32:18.000Z,1463228934208856074,1463228934208856074,Hootsuite Inc.,everyone,en,""{'retweet_count': 46, 'reply_count': 59, 'like_count': 452, 'quote_count': 5}"",,,,[],0,0,0";;;;;
"34,33,34,,""Yes, it tastes like chicken – the best chicken I’ve ever tasted in my life. Wonderful trying @upsidefoods delicious, real meat grown directly from animal cells: https://t.co/xX52PZTiUP https://t.co/bvbUWLM8MK"",8161232.0,2021-11-23T16:29:15.000Z,1463182871460552704,1463182871460552704,Twitter Media Studio,everyone,en,""{'retweet_count': 75, 'reply_count': 79, 'like_count': 393, 'quote_count': 20}"",,,,[],0,0,0";;;;;
"35,34,35,,""Thank you for having @HollyBranson and me on your #10xBolder podcast @TheBTeamHQ. We spoke about everything from overcoming fear, embracing failure, and bringing people together to solve the world’s biggest problems. Listen here: https://t.co/Ec0xrEFQ38 #NewLeadershipPlaybook https://t.co/OoHwPQFX3B"",8161232.0,2021-11-22T16:24:36.000Z,1462819312968900609,1462819312968900609,Hootsuite Inc.,everyone,en,""{'retweet_count': 33, 'reply_count': 46, 'like_count': 228, 'quote_count': 3}"",,,,""['NewLeadershipPlaybook', '10xBolder']"",0,0,0";;;;;
"36,35,36,,""Happy birthday @HollyBranson. Time really does fly, but I’ve enjoyed every single moment of watching you grow into the most wonderful woman. So proud to call you my daughter. https://t.co/QVwXyHacgu"",8161232.0,2021-11-20T10:40:02.000Z,1462007823529918469,1462007823529918469,Hootsuite Inc.,everyone,en,""{'retweet_count': 116, 'reply_count': 567, 'like_count': 2778, 'quote_count': 15}"",,,,[],0,0,0";;;;;
"37,36,37,,Love hearing wonderful success stories from dyslexic thinkers. Ando has #dyslexia and used to get caught selling doughnuts at school… Now he runs @thehappaningapp and it’s set to change the way people experience video: https://t.co/wbjmBTKt6U @VirginStartUp,8161232.0,2021-11-19T11:14:12.000Z,1461654035723952128,1461654035723952128,Twitter Web App,everyone,en,""{'retweet_count': 37, 'reply_count': 35, 'like_count': 225, 'quote_count': 13}"",,,,['dyslexia'],0,0,0";;;;;
